Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,18-24,25-44,45-64,65+,18-24lcl,25-44lcl,45-64lcl,65+lcl,18-24ucl,25-44ucl,45-64ucl,65+ucl
Alcohol Use,Adult Drinking Prevalence,,Percentage,,2018,Percentage of adults who reported drinking alcohol in the past year,,A note goes here,0.83,0.86,0.86,0.78,0.75,0.82,0.83,0.73,0.9,0.9,0.89,0.82
Alcohol Use,Adherence to the Canadian Low-Risk Drinking Guidelines,,Percentage,,2018,Percentage of adutls who drink according to the Canadian Low-Risk Drinking Guidelines,,A note goes here,0.58,0.76,0.81,0.85,0.47,0.71,0.78,0.81,0.69,0.81,0.84,0.89
Alcohol Use,Safe Level of Drinking During Pregnancy,,Percentage,,2018,Percentage of adults who believe there's no safe level of alcohol during pregnancy,,A note goes here,0.92,0.83,0.82,0.86,0.85,0.76,0.76,0.8,0.99,0.9,0.87,0.91
Cancer Screening,Awareness of the Ontario Breast Screening Program,,Percentage,,2018,Percentage of adults who have heard of the Ontario Breast Cancer Screening Program,,A note goes here,0.92,0.9,0.89,0.84,0.96,0.96
Cancer Screening,Breast Cancer Screening Prevalence,,Percentage,,2018,Percentage of eligible women who had a mammogram,,A note goes here,0.06,0.5,0.47,0.02,0.44,0.41,0.11,0.56,0.54
Cancer Screening,Cervical Cancer Screening Prevalence,,Percentage,,2018,Percentage of eligible women who had a pap test,,A note goes here,0.34,0.88,0.81,0.49,0.21,0.83,0.76,0.4,0.47,0.93,0.86,0.58
Tobacco,Exposure to Environmental Tobacco Smoke,,Percentage,,2018,Percentage of adults who are exposed to second hand smoke daily or almost daily,,A note goes here,0.33,0.23,0.17,0.07,0.23,0.18,0.13,0.04,0.43,0.29,0.21,0.1
Tobacco,Adult Smoking Prevalence,,Percentage,,2018,Percentage of adults who reported smoking tobacco in the past year,,A note goes here,0.06,0.14,0.15,0.08,0.03,0.1,0.12,0.05,0.1,0.18,0.18,0.11
Tobacco,Smoking Cessation,,Percentage,,2018,Percentage of adults who reported quitting smoking for a day or more in the last year,,A note goes here,0.86,0.74,0.41,0.33,0.69,0.62,0.3,0.16,1,0.87,0.52,0.51
Tobacco,Support for Smoke-Free Multi-Unit Dwellings,,Percentage,,2018,Percentage of adult who support a ban on smoking inside multi-unit dwellings,,A note goes here,0.8,0.71,0.75,0.76,0.68,0.63,0.69,0.69,0.93,0.8,0.81,0.83
General Health,Self-Reported General Health,,Percentage,,2018,Percentage of adults who reported their health as good or better,,A note goes here,0.95,0.94,0.9,0.78,0.92,0.91,0.87,0.74,0.99,0.97,0.93,0.82
General Health,Adult Overweight and Obesity Prevalence,,Percentage,,2018,Percentage of adults who have a self-reported body mass index of overwieght or obese,,A note goes here,0.34,0.58,0.68,0.65,0.24,0.52,0.64,0.6,0.44,0.64,0.73,0.7
General Health,Prevalence of Falls,,Percentage,,2018,Percentage of adults who reported they suffered a fall in the last year,,A note goes here,0.12,0.08,0.1,0.16,0.03,0.04,0.06,0.09,0.2,0.13,0.14,0.22
General Health,Severe Sedentary Time,,Percentage,,2018,Percentage of adults who reported they are sedentary for six hours or more daily,,A note goes here,0.52,0.48,0.44,0.33,0.41,0.42,0.39,0.28,0.62,0.54,0.48,0.37
Cannabis,Effect of Cannabis on Mental Health,,Percentage,,2018,Percentage of aduts who agree that regular cannabis use can affect mental health,,A note goes here,0.71,0.74,0.77,0.7,0.58,0.67,0.71,0.62,0.85,0.82,0.83,0.78
Cannabis,Effect of Cannabis on Addiction,,Percentage,,2018,Percentage of adults who agree that regular cannabis use can lead to addiction,,A note goes here,0.63,0.62,0.62,0.61,0.49,0.54,0.55,0.53,0.77,0.71,0.69,0.7
Cannabis,Support for Restricting Advertisement,,Percentage,,2018,"Percentage of adults who support restrictions on advertising, marketing and sponsorship of cannabis products",,A note goes here,0.78,0.85,0.88,0.85,0.65,0.79,0.83,0.79,0.91,0.92,0.93,0.91
Mental Health,Self-Reported Mental Health,,Percentage,,2018,Percentage of adults who reported their mental health as good or better,,A note goes here,0.91,0.9,0.95,0.94,0.86,0.87,0.93,0.92,0.97,0.94,0.97,0.97
Mental Health,Precieved Increase in Family Violence,,Percentage,,2018,,,A note goes here,0.24,0.19,0.29,0.33,0.11,0.12,0.23,0.24,0.37,0.25,0.36,0.41
Mental Health,Safe Level of Drinking During Pregnancy,,Percentage,,2018,Percentage of adults who believe there's no safe level of alcohol during pregnancy,,A note goes here,0.65,0.79,0.82,0.77,0.52,0.72,0.76,0.7,0.79,0.86,0.87,0.85
Mental Health,Self-Reported Neighbourhood Walkability,,Percentage,,2018,Percentage of adults who rate their neighbourhood as very good or excellent place to walk,,A note goes here,0.35,0.56,0.48,0.51,0.21,0.47,0.4,0.43,0.49,0.64,0.55,0.6
