Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,chartComment,Note,Pickering,Ajax,Whitby,Oshawa,Clarington,Northern Durham Region,Pickeringlcl,Ajaxlcl,Whitbylcl,Oshawalcl,Claringtonlcl,Northern Durham Regionlcl,Pickeringucl,Ajaxucl,Whitbyucl,Oshawaucl,Claringtonucl,Northern Durham Regionucl
Alcohol Use,Adult Drinking Prevalence,,Percentage,,2018,Percentage of adults who reported drinking alcohol in the past year,,A note goes here,0.83,0.79,0.84,0.81,0.85,0.91,0.77,0.73,0.79,0.78,0.8,0.87,0.89,0.86,0.88,0.85,0.9,0.96
Alcohol Use,Adherence to the Canadian Low-Risk Drinking Guidelines,,Percentage,,2018,Percentage of adutls who drink according to the Canadian Low-Risk Drinking Guidelines,,A note goes here,0.85,0.85,0.79,0.75,0.81,0.74,0.79,0.8,0.74,0.7,0.76,0.65,0.91,0.9,0.84,0.8,0.87,0.82
Alcohol Use,Safe Level of Drinking During Pregnancy,,Percentage,,2018,Percentage of adults who believe there's no safe level of alcohol during pregnancy,,A note goes here,0.87,0.92,0.85,0.81,0.82,0.79,0.79,0.86,0.78,0.74,0.73,0.67,0.96,0.98,0.92,0.87,0.91,0.91
Cancer Screening,Awareness of the Ontario Breast Screening Program,,Percentage,,2018,Percentage of adults who have heard of the Ontario Breast Cancer Screening Program,,A note goes here,0.93,0.88,0.98,0.89,0.91,0.95,0.85,0.76,0.95,0.83,0.82,0.89,1,1,1,0.95,0.99,1
Cancer Screening,Breast Cancer Screening Prevalence,,Percentage,,2018,Percentage of eligible women who had a mammogram,,A note goes here,0.56,0.34,0.38,0.44,0.35,0.42,0.45,0.23,0.3,0.36,0.26,0.3,0.67,0.44,0.47,0.51,0.45,0.54
Cancer Screening,Cervical Cancer Screening Prevalence,,Percentage,,2018,Percentage of eligible women who had a pap test,,A note goes here,0.79,0.74,0.69,0.72,0.71,0.65,0.69,0.63,0.61,0.65,0.62,0.53,0.89,0.84,0.77,0.8,0.8,0.78
Tobacco,Exposure to Environmental Tobacco Smoke,,Percentage,,2018,Percentage of adults who are exposed to second hand smoke daily or almost daily,,A note goes here,0.13,0.21,0.17,0.18,0.16,0.12,0.07,0.15,0.12,0.13,0.11,0.06,0.19,0.28,0.22,0.23,0.22,0.18
Tobacco,Adult Smoking Prevalence,,Percentage,,2018,Percentage of adults who reported smoking tobacco in the past year,,A note goes here,0.09,0.05,0.11,0.19,0.11,0.08,0.04,0.02,0.07,0.15,0.07,0.04,0.14,0.08,0.15,0.23,0.15,0.11
Tobacco,Smoking Cessation,,Percentage,,2018,Percentage of adults who reported quitting smoking for a day or more in the last year,,A note goes here,0.52,0.72,0.55,0.41,0.56,0.54,0.22,0.5,0.36,0.3,0.37,0.28,0.81,0.95,0.74,0.53,0.76,0.8
Tobacco,Support for Smoke-Free Multi-Unit Dwellings,,Percentage,,2018,Percentage of adult who support a ban on smoking inside multi-unit dwellings,,A note goes here,0.78,0.82,0.8,0.68,0.69,0.77,0.66,0.73,0.72,0.61,0.59,0.66,0.9,0.92,0.88,0.76,0.8,0.89
General Health,Self-Reported General Health,,Percentage,,2018,Percentage of adults who reported their health as good or better,,A note goes here,0.92,0.9,0.89,0.86,0.85,0.88,0.88,0.86,0.85,0.82,0.8,0.83,0.96,0.95,0.93,0.89,0.9,0.94
General Health,Adult Overweight and Obesity Prevalence,,Percentage,,2018,Percentage of adults who have a self-reported body mass index of overwieght or obese,,A note goes here,0.58,0.57,0.61,0.65,0.65,0.64,0.5,0.49,0.55,0.6,0.58,0.55,0.67,0.65,0.67,0.71,0.72,0.72
General Health,Prevalence of Falls,,Percentage,,2018,Percentage of adults who reported they suffered a fall in the last year,,A note goes here,0.11,0.09,0.11,0.12,0.1,0.13,0.03,0.02,0.05,0.07,0.04,0.05,0.19,0.16,0.16,0.18,0.16,0.21
General Health,Severe Sedentary Time,,Percentage,,2018,Percentage of adults who reported they are sedentary for six hours or more daily,,A note goes here,0.51,0.49,0.45,0.36,0.41,0.36,0.43,0.41,0.39,0.31,0.34,0.27,0.59,0.57,0.51,0.41,0.48,0.44
Cannabis,Effect of Cannabis on Mental Health,,Percentage,,2018,Percentage of aduts who agree that regular cannabis use can affect mental health,,A note goes here,0.77,0.82,0.8,0.65,0.73,0.74,0.66,0.73,0.73,0.58,0.63,0.61,0.88,0.91,0.88,0.73,0.83,0.87
Cannabis,Effect of Cannabis on Addiction,,Percentage,,2018,Percentage of adults who agree that regular cannabis use can lead to addiction,,A note goes here,0.58,0.7,0.65,0.59,0.63,0.57,0.45,0.58,0.56,0.5,0.53,0.43,0.72,0.82,0.74,0.67,0.74,0.71
Cannabis,Support for Restricting Advertisement,,Percentage,,2018,"Percentage of adults who support restrictions on advertising, marketing and sponsorship of cannabis products",,A note goes here,0.87,0.87,0.84,0.85,0.88,0.87,0.77,0.78,0.76,0.79,0.81,0.78,0.96,0.95,0.91,0.91,0.96,0.96
Mental Health,Self-Reported Mental Health,,Percentage,,2018,Percentage of adults who reported their mental health as good or better,,A note goes here,0.91,0.94,0.94,0.93,0.95,0.94,0.86,0.91,0.92,0.9,0.92,0.89,0.96,0.97,0.97,0.96,0.98,0.98
Mental Health,Precieved Increase in Family Violence,,Percentage,,2018,Percentage of adults who believe family violence increased in the last five years,,A note goes here,0.3,0.26,0.26,0.29,0.21,0.34,0.17,0.14,0.18,0.21,0.12,0.21,0.43,0.37,0.35,0.36,0.29,0.47
